sso_id,export_countries,export_commodity_codes
215632,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Turkey', 'country_iso2_code': 'TR'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
215633,[],[]
215578,"[{'region': 'Asia Pacific', 'country_name': 'Japan', 'country_iso2_code': 'JP'}]","[{'commodity_code': '220300', 'commodity_name': 'Ice cold beer beer beer beers'}]"
215635,[],[]
215636,[],[]
215637,[],"[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213717,[],[]
108556,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '090121', 'commodity_name': 'my beans'}]"
213677,"[{'region': 'Europe', 'country_name': 'Netherlands', 'country_iso2_code': 'NL'}]","[{'commodity_code': '710229', 'commodity_name': 'Fake ice'}]"
171627,[],"[{'commodity_code': '200899', 'commodity_name': 'Chickpea'}]"
180793,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '220300', 'commodity_name': 'Alcoholic beer'}]"
213412,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
215638,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '081340', 'commodity_name': '081340 Strawberry'}]"
213470,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': None}]","[{'commodity_code': '220850', 'commodity_name': 'gin'}]"
215639,"[{'region': 'Asia Pacific', 'country_name': 'Australia', 'country_iso2_code': 'AU'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213446,"[{'region': 'South Asia', 'country_name': 'India', 'country_iso2_code': 'IN'}]","[{'commodity_code': '090111', 'commodity_name': 'Coffee'}]"
215643,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '100610', 'commodity_name': 'Rice'}]"
215644,[],"[{'commodity_code': '071021', 'commodity_name': 'Frozen green peas'}]"
215649,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
215650,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '220850', 'commodity_name': 'Gin'}]"
213861,"[{'region': 'Asia Pacific', 'country_name': 'Japan', 'country_iso2_code': 'JP'}]","[{'commodity_code': '820559', 'commodity_name': 'Shovel spade'}]"
215654,[],[]
215653,[],"[{'commodity_code': '081330', 'commodity_name': 'Apple'}]"
215655,[],"[{'commodity_code': '080810', 'commodity_name': 'Apple'}]"
215656,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Russia', 'country_iso2_code': 'RU'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
215657,"[{'region': 'Europe', 'country_name': 'Greece', 'country_iso2_code': 'GR'}]","[{'commodity_code': '021099', 'commodity_name': 'Chicken'}]"
201395,"[{'region': 'Europe', 'country_name': 'Czechia', 'country_iso2_code': 'CZ'}]","[{'commodity_code': '090122', 'commodity_name': 'Coffee bean'}]"
204443,"[{'region': 'Europe', 'country_name': 'Germany', 'country_iso2_code': 'DE'}]","[{'commodity_code': '080450', 'commodity_name': 'Mango'}]"
215659,"[{'region': 'Europe', 'country_name': 'Greece', 'country_iso2_code': 'GR'}]","[{'commodity_code': '020120', 'commodity_name': 'Beef'}]"
215660,[],[]
215661,[],[]
215634,"[{'region': 'Eastern Europe and Central Asia', 'country_name': 'Turkey', 'country_iso2_code': 'TR'}]","[{'commodity_code': '081330', 'commodity_name': 'Apple'}]"
215663,"[{'region': 'Europe', 'country_name': 'Belgium', 'country_iso2_code': 'BE'}]","[{'commodity_code': '081010', 'commodity_name': 'Strawberry'}]"
215662,"[{'region': 'Europe', 'country_name': 'Spain', 'country_iso2_code': 'ES'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
215664,[],"[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
116418,"[{'region': 'Africa', 'country_name': 'Comoros', 'country_iso2_code': 'KM'}]","[{'commodity_code': '391739', 'commodity_name': 'Drinking straw'}]"
215665,[],"[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
215668,[],[]
215669,[],[]
215670,[],[]
215671,[],[]
215672,[],[]
215673,[],[]
215674,[],[]
215675,[],[]
215666,"[{'region': 'Europe', 'country_name': 'Italy', 'country_iso2_code': 'IT'}]","[{'commodity_code': '040610', 'commodity_name': 'Cheese'}]"
211590,"[{'region': 'Africa', 'country_name': 'Benin', 'country_iso2_code': 'BJ'}]","[{'commodity_code': '080810', 'commodity_name': 'Apple'}]"
